Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,IsHoliday
1,2010-02-05,42.31,2.572,NA,NA,NA,NA,NA,FALSE
1,2010-02-12,38.51,2.548,NA,11826.52,NA,NA,NA,TRUE
1,2010-02-19,39.54,2.514,NA,NA,NA,NA,NA,FALSE
1,2010-02-26,45.63,2.561,NA,NA,NA,NA,NA,FALSE
1,2010-03-05,46.50,2.625,NA,NA,NA,NA,NA,FALSE
2,2010-02-05,41.86,2.593,NA,NA,NA,NA,NA,FALSE
2,2010-02-12,37.22,2.571,NA,12916.41,NA,NA,NA,TRUE
2,2010-02-19,38.41,2.527,NA,NA,NA,NA,NA,FALSE
2,2010-02-26,44.29,2.542,NA,NA,NA,NA,NA,FALSE
2,2010-03-05,45.71,2.613,NA,NA,NA,NA,NA,FALSE
3,2010-02-05,42.15,2.584,NA,NA,NA,NA,NA,FALSE
3,2010-02-12,38.94,2.565,NA,11982.15,NA,NA,NA,TRUE
3,2010-02-19,39.82,2.532,NA,NA,NA,NA,NA,FALSE
3,2010-02-26,45.12,2.553,NA,NA,NA,NA,NA,FALSE
3,2010-03-05,46.08,2.631,NA,NA,NA,NA,NA,FALSE
4,2010-02-05,42.73,2.578,NA,NA,NA,NA,NA,FALSE
4,2010-02-12,38.23,2.559,NA,12041.33,NA,NA,NA,TRUE
4,2010-02-19,39.15,2.524,NA,NA,NA,NA,NA,FALSE
4,2010-02-26,44.67,2.548,NA,NA,NA,NA,NA,FALSE
4,2010-03-05,46.25,2.620,NA,NA,NA,NA,NA,FALSE
