Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,2010-02-05,24924.5,FALSE
1,1,2010-02-12,46039.49,TRUE
1,1,2010-02-19,41595.55,FALSE
1,1,2010-02-26,19403.54,FALSE
1,1,2010-03-05,21827.9,FALSE
1,2,2010-02-05,50010.87,FALSE
1,2,2010-02-12,37242.84,TRUE
1,2,2010-02-19,32229.38,FALSE
1,2,2010-02-26,34770.64,FALSE
1,2,2010-03-05,36359.48,FALSE
2,1,2010-02-05,32735.32,FALSE
2,1,2010-02-12,55438.94,TRUE
2,1,2010-02-19,43988.23,FALSE
2,1,2010-02-26,37404.43,FALSE
2,1,2010-03-05,26844.41,FALSE
2,2,2010-02-05,45239.41,FALSE
2,2,2010-02-12,39927.02,TRUE
2,2,2010-02-19,36456.78,FALSE
2,2,2010-02-26,34912.3,FALSE
2,2,2010-03-05,28934.87,FALSE
3,1,2010-02-05,28184.46,FALSE
3,1,2010-02-12,42398.57,TRUE
3,1,2010-02-19,38340.92,FALSE
3,1,2010-02-26,29392.45,FALSE
3,1,2010-03-05,24598.61,FALSE
3,2,2010-02-05,51940.94,FALSE
3,2,2010-02-12,48128.76,TRUE
3,2,2010-02-19,41623.81,FALSE
3,2,2010-02-26,39487.18,FALSE
3,2,2010-03-05,35764.27,FALSE
